"year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
2009,-0.169200373302882,-0.210526071177787,-0.126968686966839,"-16.9%","-21.1%","-12.7%"
2010,-0.0140975740619053,-0.0682816466568604,0.0415559393136262,"-1.4%","-6.8%","4.2%"
2011,0.0238285920854671,-0.0337196734636741,0.0830929171101547,"2.4%","-3.4%","8.3%"
2012,-0.0526320365690741,-0.10686752467336,0.00316149591185777,"-5.3%","-10.7%","0.3%"
2013,-0.0868814406697234,-0.141949001699517,-0.0301732678133009,"-8.7%","-14.2%","-3%"
2014,-0.0398419653950147,-0.100478719821703,0.0227403437586371,"-4%","-10%","2.3%"
2015,-0.0785452083998905,-0.140542550877997,-0.01454340536624,"-7.9%","-14.1%","-1.5%"
2016,-0.0119887126414103,-0.0815176689273774,0.0601045911461127,"-1.2%","-8.2%","6%"
2017,-0.0543623071620896,-0.123079699378051,0.0168573353374533,"-5.4%","-12.3%","1.7%"
2018,-0.0616483055124649,-0.13426368516067,0.0137268055023632,"-6.2%","-13.4%","1.4%"
2019,0.0322214244017505,-0.049180652803312,0.117138854143363,"3.2%","-4.9%","11.7%"
2020,-0.0355913143278938,-0.1144997015518,0.0464192441550229,"-3.6%","-11.4%","4.6%"
