"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,-0.306814655349543,-1,1.27940672727741,"-30.7%","-100%","127.9%"
"Armenia","Smelter",2009,0.0174818148156457,-0.621874136392915,0.857189344885614,"1.7%","-62.2%","85.7%"
"Aruba","Oil & Gas",2009,0.0241630139977123,-0.660320430221521,0.948880975544163,"2.4%","-66%","94.9%"
"Australia","Coal",2009,-0.0675146606959689,-0.258170360134965,0.143200932530518,"-6.8%","-25.8%","14.3%"
"Australia","Smelter",2009,-0.0110129488129878,-0.189816863724188,0.185203066048181,"-1.1%","-19%","18.5%"
"Bangladesh","Coal",2009,0.0554338910220855,-1,Inf,"5.5%","-100%","Inf%"
"Belarus","Oil & Gas",2009,-0.0137594631655342,-1,2.34059229601991,"-1.4%","-100%","234.1%"
"Bosnia and Herzegovina","Coal",2009,0.647659710503256,0.030227884704755,1.4668915388786,"64.8%","3%","146.7%"
"Botswana","Coal",2009,-0.271075301653851,-0.598682199028137,0.115216414659596,"-27.1%","-59.9%","11.5%"
"Botswana","Smelter",2009,-0.282163524720964,-0.491519489099573,-0.0521956129724139,"-28.2%","-49.2%","-5.2%"
"Brazil","Oil & Gas",2009,-0.870218135060481,-1,-0.193529548153124,"-87%","-100%","-19.4%"
"Brazil","Smelter",2009,0.00653095551443061,-0.499860758196046,0.648332866351911,"0.7%","-50%","64.8%"
"Bulgaria","Coal",2009,-0.147728982819494,-0.348472835420673,0.0863058908433383,"-14.8%","-34.8%","8.6%"
"Canada","Coal",2009,-0.22148605806149,-0.693515253011298,0.427221559206727,"-22.1%","-69.4%","42.7%"
"Canada","Oil & Gas",2009,-0.165254352390797,-1,0.884184671174756,"-16.5%","-100%","88.4%"
"Canada","Smelter",2009,-0.0786994142942711,-0.419686945149399,0.352255205175694,"-7.9%","-42%","35.2%"
"Chile","Smelter",2009,0.114213405699975,-0.392456546916677,0.788160647597975,"11.4%","-39.2%","78.8%"
"China","Coal",2009,-0.372655943529825,-0.409967464372402,-0.334459595098277,"-37.3%","-41%","-33.4%"
"China","Oil & Gas",2009,-0.598510256557257,-0.826725616624404,-0.329097090284479,"-59.9%","-82.7%","-32.9%"
"China","Smelter",2009,-0.107408690579712,-0.301325170390179,0.114551691324145,"-10.7%","-30.1%","11.5%"
"Colombia","Oil & Gas",2009,-0.248128645589042,-0.656618585528097,0.324556151165174,"-24.8%","-65.7%","32.5%"
"Croatia","Coal",2009,-0.171221057702911,-0.929013545864623,1.02624997576961,"-17.1%","-92.9%","102.6%"
"Cuba","Oil & Gas",2009,-0.0693244095296481,-0.260995804524705,0.145383306905217,"-6.9%","-26.1%","14.5%"
"Cuba","Smelter",2009,0.0203549796909366,-0.218754121624907,0.295286601665047,"2%","-21.9%","29.5%"
"Curacao","Oil & Gas",2009,0.290239272743716,-0.243966045990588,0.97417788198467,"29%","-24.4%","97.4%"
"Cyprus","Oil & Gas",2009,-0.25784266619407,-0.881170171813127,0.766804259541925,"-25.8%","-88.1%","76.7%"
"Czech Republic","Coal",2009,0.883172725135919,-1,Inf,"88.3%","-100%","Inf%"
"Egypt","Oil & Gas",2009,0.375064217396688,-0.267136176309537,1.30994567628688,"37.5%","-26.7%","131%"
"Estonia","Oil & Gas",2009,0.530832962726714,-0.974240108807336,4.87663053978949,"53.1%","-97.4%","487.7%"
"France","Coal",2009,-0.00448195812792895,-0.753059789595836,1.19895621168488,"-0.4%","-75.3%","119.9%"
"France","Oil & Gas",2009,0.307283418292206,-0.90451019547815,3.37545674116596,"30.7%","-90.5%","337.5%"
"Georgia","Smelter",2009,0.565920961959506,-0.916028483141918,4.64468319557331,"56.6%","-91.6%","464.5%"
"Germany","Coal",2009,0.182361691582732,-0.569769981729791,1.21316858161398,"18.2%","-57%","121.3%"
"Greece","Coal",2009,-0.0438685554845846,-0.264307337049693,0.198605359988792,"-4.4%","-26.4%","19.9%"
"Greece","Oil & Gas",2009,-0.0548437736311254,-0.69306007751675,0.983379883705343,"-5.5%","-69.3%","98.3%"
"Guatemala","Oil & Gas",2009,-0.0115092001320787,-0.747687899549023,1.020757012563,"-1.2%","-74.8%","102.1%"
"Honduras","Oil & Gas",2009,0.334969903051675,-0.668615999038981,2.34298433584091,"33.5%","-66.9%","234.3%"
"India","Coal",2009,0.173552313534283,0.081802184683226,0.268991192845941,"17.4%","8.2%","26.9%"
"India","Oil & Gas",2009,0.498239150275909,-0.0653125615185002,1.1863360425132,"49.8%","-6.5%","118.6%"
"India","Smelter",2009,0.27593695445614,-0.169513868499923,0.86157382619016,"27.6%","-17%","86.2%"
"Indonesia","Coal",2009,-0.0268073587839958,-0.285216001309857,0.262134633538663,"-2.7%","-28.5%","26.2%"
"Indonesia","Smelter",2009,0.355028779833136,-0.397838138849483,1.60953861847118,"35.5%","-39.8%","161%"
"Iran","Coal",2009,0.550856812165713,0.0944941756145021,1.11368690687316,"55.1%","9.4%","111.4%"
"Iran","Oil & Gas",2009,-0.07802140773185,-0.189478892816261,0.0407916137982367,"-7.8%","-18.9%","4.1%"
"Iran","Smelter",2009,-0.0826512575592199,-0.273015301524155,0.123634148798258,"-8.3%","-27.3%","12.4%"
"Iraq","Oil & Gas",2009,0.380765128300386,-0.0549857381826666,0.926713311659926,"38.1%","-5.5%","92.7%"
"Israel","Coal",2009,0.668658444219224,-0.348984174948517,2.60742418604828,"66.9%","-34.9%","260.7%"
"Italy","Coal",2009,0.0530263020645281,-1,Inf,"5.3%","-100%","Inf%"
"Italy","Oil & Gas",2009,0.464978627085277,-0.752375717779479,2.95134578941052,"46.5%","-75.2%","295.1%"
"Jamaica","Smelter",2009,0.0425061000573328,-0.432789486339219,0.640642380515733,"4.3%","-43.3%","64.1%"
"Jordan","Oil & Gas",2009,0.466443228764152,-0.318448622252693,1.7040733673592,"46.6%","-31.8%","170.4%"
