"COUNTRY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania",2009,-0.306814655349245,-1,Inf,"-30.7%","-100%","Inf%"
"Armenia",2009,0.0174818148157796,-1,Inf,"1.7%","-100%","Inf%"
"Aruba",2009,0.024163013997722,-0.429703339398186,0.605169224974648,"2.4%","-43%","60.5%"
"Australia",2009,-0.0432673337109606,-0.361515696566732,0.336877817741588,"-4.3%","-36.2%","33.7%"
"Bangladesh",2009,0.0554338910221666,-1,Inf,"5.5%","-100%","Inf%"
"Belarus",2009,-0.0137594631662968,-1,Inf,"-1.4%","-100%","Inf%"
"Bosnia and Herzegovina",2009,0.647659710503379,-0.301120686256854,2.27242119565774,"64.8%","-30.1%","227.2%"
"Botswana",2009,-0.279507825659644,-0.585910617278299,0.0794044722384921,"-28%","-58.6%","7.9%"
"Brazil",2009,-0.358488930038543,-1,0.652918278339645,"-35.8%","-100%","65.3%"
"Bulgaria",2009,-0.147728982819642,-0.387565067384482,0.129331599820536,"-14.8%","-38.8%","12.9%"
"Canada",2009,-0.135237638654878,-0.507796474205788,0.323882011997128,"-13.5%","-50.8%","32.4%"
"Chile",2009,0.114213405700235,-0.745956569853749,1.70219822297855,"11.4%","-74.6%","170.2%"
"China",2009,-0.365823036757064,-0.408216015922486,-0.322482303413477,"-36.6%","-40.8%","-32.2%"
"Colombia",2009,-0.248128645589494,-1,Inf,"-24.8%","-100%","Inf%"
"Croatia",2009,-0.171221057703001,-1,Inf,"-17.1%","-100%","Inf%"
"Cuba",2009,-0.0300202436317307,-0.406269713790462,0.442304362034997,"-3%","-40.6%","44.2%"
"Curacao",2009,0.290239272743633,-0.589004935568909,1.81832020945036,"29%","-58.9%","181.8%"
"Cyprus",2009,-0.257842666193745,-1,Inf,"-25.8%","-100%","Inf%"
"Czech Republic",2009,0.883172725135696,-1,Inf,"88.3%","-100%","Inf%"
"Egypt",2009,0.375064217396956,19.4805716529158,Inf,"37.5%","1948.1%","Inf%"
"Estonia",2009,0.530832962727923,18.009438935501,Inf,"53.1%","1800.9%","Inf%"
"France",2009,0.12538280596252,-0.910142965879018,2.53755698998016,"12.5%","-91%","253.8%"
"Georgia",2009,0.565920961959265,-1,Inf,"56.6%","-100%","Inf%"
"Germany",2009,0.182361691582772,-0.892785252714596,2.56380284213601,"18.2%","-89.3%","256.4%"
"Greece",2009,-0.045158086337975,-0.40400378160771,0.383997210871314,"-4.5%","-40.4%","38.4%"
"Guatemala",2009,-0.0115092001320886,-1,Inf,"-1.2%","-100%","Inf%"
"Honduras",2009,0.334969903051351,-1,Inf,"33.5%","-100%","Inf%"
"India",2009,0.183435021648029,-0.0458837424546158,0.441145411629446,"18.3%","-4.6%","44.1%"
"Indonesia",2009,0.0950713393486913,-0.529466240020937,1.01835921884915,"9.5%","-52.9%","101.8%"
"Iran",2009,-0.0435994873906373,-0.250822213859778,0.188778315365333,"-4.4%","-25.1%","18.9%"
"Iraq",2009,0.380765128299758,-0.388162678797158,1.59573226676335,"38.1%","-38.8%","159.6%"
"Israel",2009,0.668658444218891,-1,Inf,"66.9%","-100%","Inf%"
"Italy",2009,0.31829506565179,-1,Inf,"31.8%","-100%","Inf%"
"Jamaica",2009,0.042506100057452,-0.825668334094574,1.66812660499182,"4.3%","-82.6%","166.8%"
"Jordan",2009,0.466443228764197,-1,Inf,"46.6%","-100%","Inf%"
"Kazakhstan",2009,-0.300015465044734,-0.560957392789195,-0.0018595101113511,"-30%","-56.1%","-0.2%"
"Kuwait",2009,-0.125994046226188,-0.357707486128042,0.139393536251571,"-12.6%","-35.8%","13.9%"
"Lebanon",2009,0.98332742799646,-1,Inf,"98.3%","-100%","Inf%"
"Macedonia (FYROM)",2009,-0.106497022040649,-1,Inf,"-10.6%","-100%","Inf%"
"Mali",2009,0.509286006912778,-1,Inf,"50.9%","-100%","Inf%"
"Mexico",2009,-0.00735357744414544,-0.166282017362818,0.165378037642802,"-0.7%","-16.6%","16.5%"
"Morocco",2009,0.0926940020926013,-0.61862823515229,1.21483698584597,"9.3%","-61.9%","121.5%"
"Namibia",2009,0.590227474178084,-1,Inf,"59%","-100%","Inf%"
"Oman",2009,-0.13010379248239,-1,Inf,"-13%","-100%","Inf%"
"Pakistan",2009,0.242079905869883,-0.561943001223882,1.59911426354358,"24.2%","-56.2%","159.9%"
"Peru",2009,-0.375492756333347,-0.705456745444932,0.0307834264099696,"-37.5%","-70.5%","3.1%"
"Poland",2009,-0.369229505270571,-0.872011111822814,0.291667064139888,"-36.9%","-87.2%","29.2%"
"Portugal",2009,-0.215202089387852,-1,Inf,"-21.5%","-100%","Inf%"
"Puerto Rico",2009,0.10824891499574,-1,Inf,"10.8%","-100%","Inf%"
"Qatar",2009,-0.344361163353697,-0.644710365875587,0.00905763507660651,"-34.4%","-64.5%","0.9%"
"Romania",2009,-0.134271345208833,-0.380028816599249,0.150609411393316,"-13.4%","-38%","15.1%"
"Russia",2009,-0.0296394004140538,-0.182029703597136,0.134977368988897,"-3%","-18.2%","13.5%"
"Saudi Arabia",2009,0.184798362049121,-0.0484943137571722,0.448910160711507,"18.5%","-4.8%","44.9%"
"Serbia",2009,0.254629778783988,-0.248150785748832,0.925847742335673,"25.5%","-24.8%","92.6%"
"Singapore",2009,-0.0577421747930237,-0.440484770608029,0.414402417622691,"-5.8%","-44%","41.4%"
"Slovakia",2009,-0.477781100461343,-1,Inf,"-47.8%","-100%","Inf%"
"South Africa",2009,-0.144309098849506,-0.289573217461917,0.013208679110903,"-14.4%","-29%","1.3%"
