"COUNTRY","SOURCETY","year_offsetted","diff_yoy","diff_yoy_lwr","diff_yoy_upr","diff_yoy_str","diff_yoy_lwr_str","diff_yoy_upr_str"
"Albania","Oil & Gas",2009,-0.306814655349245,-1,Inf,"-30.7%","-100%","Inf%"
"Armenia","Smelter",2009,0.0174818148157796,-0.813847059276991,1.23074772512651,"1.7%","-81.4%","123.1%"
"Aruba","Oil & Gas",2009,0.024163013997722,-0.296541388430918,0.397057521978082,"2.4%","-29.7%","39.7%"
"Australia","Coal",2009,-0.0675146606959811,-0.331183743349825,0.235326050588468,"-6.8%","-33.1%","23.5%"
"Australia","Smelter",2009,-0.0110129488130531,-0.229405747315022,0.236425890562933,"-1.1%","-22.9%","23.6%"
"Bangladesh","Coal",2009,0.0554338910221666,-1,Inf,"5.5%","-100%","Inf%"
"Belarus","Oil & Gas",2009,-0.0137594631662968,-1,2.65503682702311,"-1.4%","-100%","265.5%"
"Bosnia and Herzegovina","Coal",2009,0.647659710503379,0.0280937694481014,1.49513036283625,"64.8%","2.8%","149.5%"
"Botswana","Coal",2009,-0.271075301653829,-0.773623523384003,0.389915424863421,"-27.1%","-77.4%","39%"
"Botswana","Smelter",2009,-0.282163524721147,-0.460899769842568,-0.0882996771089122,"-28.2%","-46.1%","-8.8%"
"Brazil","Oil & Gas",2009,-0.870218135060471,-1,-0.182688972083857,"-87%","-100%","-18.3%"
"Brazil","Smelter",2009,0.00653095551459537,-0.595063443475771,0.77578950633144,"0.7%","-59.5%","77.6%"
"Bulgaria","Coal",2009,-0.147728982819642,-0.314852878860526,0.0386252133243186,"-14.8%","-31.5%","3.9%"
"Canada","Coal",2009,-0.221486058061055,-0.707433992150238,0.452017898372006,"-22.1%","-70.7%","45.2%"
"Canada","Oil & Gas",2009,-0.165254352392113,-0.972649707585355,0.786347762664037,"-16.5%","-97.3%","78.6%"
"Canada","Smelter",2009,-0.0786994142933121,-0.346554341951783,0.233540637544135,"-7.9%","-34.7%","23.4%"
"Chile","Smelter",2009,0.114213405700235,-0.427118584274047,0.860983377365312,"11.4%","-42.7%","86.1%"
"China","Coal",2009,-0.372655943529847,-0.401242116586949,-0.343587380412476,"-37.3%","-40.1%","-34.4%"
"China","Oil & Gas",2009,-0.598510256557201,-0.774319664383473,-0.400790304187899,"-59.9%","-77.4%","-40.1%"
